idx,param,grad_jax,grad_fd,rel_err,status,jax_nan,fd_nan,time_jax_s,time_fd_s
0,alpha_sw,10.701357753227683,10.701361686180633,3.675189256578302e-07,PASS,False,False,966.52,771.92
1,alpha_tref,-48.691624698516456,-48.68531786241803,0.0001295428760729755,PASS,False,False,1536.55,642.55
2,alpha_vcmax,14.143925571242399,14.143925857244,2.0220807430359935e-08,PASS,False,False,867.22,633.67
3,alpha_iota,-2.135854453971806,-2.1358566938367574,1.0486962715034287e-06,PASS,False,False,793.6,626.08
4,alpha_q,-0.1536320726706264,-0.15361928317858542,8.325447024842925e-05,PASS,False,False,1319.95,703.61
5,alpha_pbot,4.698127000,4.698147804642616,4.38e-06,PASS,False,False,1446.43,679.03
6,alpha_lwrad,0.0,0.0,0.0,INACT,False,False,642.56,648.26
7,alpha_u,0.8751677374324445,0.8751309260013329,4.206391297329693e-05,PASS,False,False,1272.73,634.18
8,alpha_v,0.0,0.0,0.0,INACT,False,False,1238.98,630.13
9,alpha_pco2,0.0,0.0,0.0,INACT,False,False,597.41,654.58
